Country,Group_Technology,Technology,RE_or_Non_RE,Year,Electricity_Installed_Capacity__MW_
Andorra,Fossil fuels,Natural gas,Total Non-Renewable,2023,1.7
Andorra,Solar energy,Solar photovoltaic,Total Renewable,2015,0.226
Andorra,Solar energy,Solar photovoltaic,Total Renewable,2016,0.244
Andorra,Solar energy,Solar photovoltaic,Total Renewable,2017,0.489
Andorra,Solar energy,Solar photovoltaic,Total Renewable,2018,1.09
Andorra,Solar energy,Solar photovoltaic,Total Renewable,2019,1.989
Andorra,Solar energy,Solar photovoltaic,Total Renewable,2020,3.084
Andorra,Solar energy,Solar photovoltaic,Total Renewable,2021,4.352
Andorra,Solar energy,Solar photovoltaic,Total Renewable,2022,4.352
Andorra,Solar energy,Solar photovoltaic,Total Renewable,2023,4.352
Andorra,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2015,46.0
Andorra,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2016,46.0
Andorra,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2017,46.0
Andorra,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2018,46.0
Andorra,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2019,46.0
Andorra,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2020,46.0
Andorra,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2021,46.0
Andorra,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2022,46.0
Andorra,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2023,46.0
Austria,Bioenergy,Biogas,Total Renewable,2015,4.0
Austria,Bioenergy,Biogas,Total Renewable,2016,4.0
Austria,Bioenergy,Biogas,Total Renewable,2017,4.0
Austria,Bioenergy,Biogas,Total Renewable,2018,4.0
Austria,Bioenergy,Biogas,Total Renewable,2019,4.0
Austria,Bioenergy,Biogas,Total Renewable,2020,4.0
Austria,Bioenergy,Biogas,Total Renewable,2021,4.0
Austria,Bioenergy,Biogas,Total Renewable,2022,4.0
Austria,Bioenergy,Biogas,Total Renewable,2023,4.0
Austria,Bioenergy,Biogas,Total Renewable,2015,162.413
Austria,Bioenergy,Biogas,Total Renewable,2016,173.304
Austria,Bioenergy,Biogas,Total Renewable,2017,151.079
Austria,Bioenergy,Biogas,Total Renewable,2018,146.396
Austria,Bioenergy,Biogas,Total Renewable,2019,134.74
Austria,Bioenergy,Biogas,Total Renewable,2020,135.579
Austria,Bioenergy,Biogas,Total Renewable,2021,137.207
Austria,Bioenergy,Biogas,Total Renewable,2022,136.877
Austria,Bioenergy,Biogas,Total Renewable,2023,136.877
Austria,Bioenergy,Biogas,Total Renewable,2015,25.0
Austria,Bioenergy,Biogas,Total Renewable,2016,25.0
Austria,Bioenergy,Biogas,Total Renewable,2017,25.0
Austria,Bioenergy,Biogas,Total Renewable,2018,25.0
Austria,Bioenergy,Biogas,Total Renewable,2019,25.0
Austria,Bioenergy,Biogas,Total Renewable,2020,25.0
Austria,Bioenergy,Biogas,Total Renewable,2021,25.0
Austria,Bioenergy,Biogas,Total Renewable,2022,25.0
Austria,Bioenergy,Biogas,Total Renewable,2023,25.0
Austria,Bioenergy,Solid biofuels,Total Renewable,2015,315.141
Austria,Bioenergy,Solid biofuels,Total Renewable,2016,315.141
Austria,Bioenergy,Solid biofuels,Total Renewable,2017,315.141
Austria,Bioenergy,Solid biofuels,Total Renewable,2018,315.141
Austria,Bioenergy,Solid biofuels,Total Renewable,2019,315.141
Austria,Bioenergy,Solid biofuels,Total Renewable,2020,315.141
Austria,Bioenergy,Solid biofuels,Total Renewable,2021,315.141
Austria,Bioenergy,Solid biofuels,Total Renewable,2022,315.141
Austria,Bioenergy,Solid biofuels,Total Renewable,2023,315.141
Austria,Bioenergy,Solid biofuels,Total Renewable,2015,71.135
Austria,Bioenergy,Solid biofuels,Total Renewable,2016,71.135
Austria,Bioenergy,Solid biofuels,Total Renewable,2017,71.135
Austria,Bioenergy,Solid biofuels,Total Renewable,2018,71.135
Austria,Bioenergy,Solid biofuels,Total Renewable,2019,71.135
Austria,Bioenergy,Solid biofuels,Total Renewable,2020,71.135
Austria,Bioenergy,Solid biofuels,Total Renewable,2021,71.135
Austria,Bioenergy,Solid biofuels,Total Renewable,2022,71.135
Austria,Bioenergy,Solid biofuels,Total Renewable,2023,71.135
Austria,Bioenergy,Solid biofuels,Total Renewable,2015,552.345
Austria,Bioenergy,Solid biofuels,Total Renewable,2016,530.419
Austria,Bioenergy,Solid biofuels,Total Renewable,2017,451.495
Austria,Bioenergy,Solid biofuels,Total Renewable,2018,437.977
Austria,Bioenergy,Solid biofuels,Total Renewable,2019,427.152
Austria,Bioenergy,Solid biofuels,Total Renewable,2020,429.923
Austria,Bioenergy,Solid biofuels,Total Renewable,2021,378.426
Austria,Bioenergy,Solid biofuels,Total Renewable,2022,397.923
Austria,Bioenergy,Solid biofuels,Total Renewable,2023,397.923
Austria,Bioenergy,Liquid biofuels,Total Renewable,2015,3.385
Austria,Bioenergy,Liquid biofuels,Total Renewable,2016,2.969
Austria,Bioenergy,Liquid biofuels,Total Renewable,2017,1.204
Austria,Bioenergy,Liquid biofuels,Total Renewable,2018,1.324
Austria,Bioenergy,Liquid biofuels,Total Renewable,2019,0.521
Austria,Bioenergy,Liquid biofuels,Total Renewable,2020,0.461
Austria,Bioenergy,Liquid biofuels,Total Renewable,2021,0.065
Austria,Bioenergy,Liquid biofuels,Total Renewable,2022,0.025
Austria,Bioenergy,Liquid biofuels,Total Renewable,2023,0.025
Austria,Bioenergy,Renewable municipal waste,Total Renewable,2015,262.92
Austria,Bioenergy,Renewable municipal waste,Total Renewable,2016,270.82
Austria,Bioenergy,Renewable municipal waste,Total Renewable,2017,270.72
Austria,Bioenergy,Renewable municipal waste,Total Renewable,2018,269.62
Austria,Bioenergy,Renewable municipal waste,Total Renewable,2019,271.62
Austria,Bioenergy,Renewable municipal waste,Total Renewable,2020,270.02
Austria,Bioenergy,Renewable municipal waste,Total Renewable,2021,240.12
Austria,Bioenergy,Renewable municipal waste,Total Renewable,2022,245.0
Austria,Bioenergy,Renewable municipal waste,Total Renewable,2023,245.0
Austria,Wind energy,Onshore wind energy,Total Renewable,2015,2488.726
Austria,Wind energy,Onshore wind energy,Total Renewable,2016,2729.996
Austria,Wind energy,Onshore wind energy,Total Renewable,2017,2886.698
Austria,Wind energy,Onshore wind energy,Total Renewable,2018,3132.713
Austria,Wind energy,Onshore wind energy,Total Renewable,2019,3224.117
Austria,Wind energy,Onshore wind energy,Total Renewable,2020,3225.979
Austria,Wind energy,Onshore wind energy,Total Renewable,2021,3407.811
Austria,Wind energy,Onshore wind energy,Total Renewable,2022,3579.236
Austria,Wind energy,Onshore wind energy,Total Renewable,2023,3977.236
Austria,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2015,5525.501
Austria,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2016,5173.152
Austria,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2017,4615.845
Austria,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2018,4556.064
Austria,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2019,4420.482
Austria,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2020,4479.871
Austria,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2021,4650.469
Austria,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2022,4071.153
Austria,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2023,4092.153
Austria,Solar energy,Solar photovoltaic,Total Renewable,2015,5.535
Austria,Solar energy,Solar photovoltaic,Total Renewable,2016,6.487
Austria,Solar energy,Solar photovoltaic,Total Renewable,2017,6.963
Austria,Solar energy,Solar photovoltaic,Total Renewable,2018,7.197
Austria,Solar energy,Solar photovoltaic,Total Renewable,2019,7.697
Austria,Solar energy,Solar photovoltaic,Total Renewable,2020,8.197
Austria,Solar energy,Solar photovoltaic,Total Renewable,2021,8.697
Austria,Solar energy,Solar photovoltaic,Total Renewable,2022,8.697
Austria,Solar energy,Solar photovoltaic,Total Renewable,2023,8.697
Austria,Solar energy,Solar photovoltaic,Total Renewable,2015,931.563
Austria,Solar energy,Solar photovoltaic,Total Renewable,2016,1089.529
Austria,Solar energy,Solar photovoltaic,Total Renewable,2017,1262.008
Austria,Solar energy,Solar photovoltaic,Total Renewable,2018,1447.935
Austria,Solar energy,Solar photovoltaic,Total Renewable,2019,1694.396
Austria,Solar energy,Solar photovoltaic,Total Renewable,2020,2034.737
Austria,Solar energy,Solar photovoltaic,Total Renewable,2021,2773.905
Austria,Solar energy,Solar photovoltaic,Total Renewable,2022,3783.007
Austria,Solar energy,Solar photovoltaic,Total Renewable,2023,6823.007
Austria,Geothermal energy,Geothermal energy,Total Renewable,2015,0.915
Austria,Geothermal energy,Geothermal energy,Total Renewable,2016,0.924
Austria,Geothermal energy,Geothermal energy,Total Renewable,2017,0.915
Austria,Geothermal energy,Geothermal energy,Total Renewable,2018,0.915
Austria,Geothermal energy,Geothermal energy,Total Renewable,2019,0.915
Austria,Geothermal energy,Geothermal energy,Total Renewable,2020,0.915
Austria,Geothermal energy,Geothermal energy,Total Renewable,2021,0.25
Austria,Geothermal energy,Geothermal energy,Total Renewable,2022,0.25
Austria,Geothermal energy,Geothermal energy,Total Renewable,2023,0.25
Austria,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2015,743.16
Austria,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2016,707.06
Austria,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2017,706.96
Austria,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2018,705.86
Austria,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2019,707.86
Austria,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2020,714.26
Austria,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2021,629.86
Austria,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2022,634.74
Austria,Other non-renewable energy,Other non-renewable energy,Total Non-Renewable,2023,634.74
Austria,Hydropower (excl. Pumped Storage),Mixed Hydro Plants,Total Renewable,2015,5193.39
Austria,Hydropower (excl. Pumped Storage),Mixed Hydro Plants,Total Renewable,2016,5623.39
Austria,Hydropower (excl. Pumped Storage),Mixed Hydro Plants,Total Renewable,2017,5644.28
Austria,Hydropower (excl. Pumped Storage),Mixed Hydro Plants,Total Renewable,2018,5665.28
Austria,Hydropower (excl. Pumped Storage),Mixed Hydro Plants,Total Renewable,2019,5673.28
Austria,Hydropower (excl. Pumped Storage),Mixed Hydro Plants,Total Renewable,2020,5731.3
Austria,Hydropower (excl. Pumped Storage),Mixed Hydro Plants,Total Renewable,2021,5761.28
Austria,Hydropower (excl. Pumped Storage),Mixed Hydro Plants,Total Renewable,2022,5795.28
Austria,Hydropower (excl. Pumped Storage),Mixed Hydro Plants,Total Renewable,2023,5665.28
Austria,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2015,8456.265
Austria,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2016,8492.924
Austria,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2017,8505.668
Austria,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2018,8850.966
Austria,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2019,8923.828
Austria,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2020,8903.205
Austria,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2021,8986.648
Austria,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2022,9127.846
Austria,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2023,9042.846
Belarus,Nuclear,Nuclear,Total Non-Renewable,2021,1170.0
Belarus,Nuclear,Nuclear,Total Non-Renewable,2022,1170.0
Belarus,Nuclear,Nuclear,Total Non-Renewable,2023,1170.0
Belarus,Bioenergy,Biogas,Total Renewable,2023,40.2
Belarus,Bioenergy,Biogas,Total Renewable,2015,22.4
Belarus,Bioenergy,Biogas,Total Renewable,2016,26.8
Belarus,Bioenergy,Biogas,Total Renewable,2017,27.9
Belarus,Bioenergy,Biogas,Total Renewable,2018,32.4
Belarus,Bioenergy,Biogas,Total Renewable,2019,37.3
Belarus,Bioenergy,Biogas,Total Renewable,2020,36.5
Belarus,Bioenergy,Biogas,Total Renewable,2021,36.8
Belarus,Bioenergy,Biogas,Total Renewable,2022,38.2
Belarus,Bioenergy,Biogas,Total Renewable,2018,0.5
Belarus,Bioenergy,Biogas,Total Renewable,2019,0.5
Belarus,Bioenergy,Biogas,Total Renewable,2020,0.5
Belarus,Bioenergy,Biogas,Total Renewable,2021,0.5
Belarus,Bioenergy,Biogas,Total Renewable,2022,0.5
Belarus,Bioenergy,Solid biofuels,Total Renewable,2015,12.8
Belarus,Bioenergy,Solid biofuels,Total Renewable,2016,12.8
Belarus,Bioenergy,Solid biofuels,Total Renewable,2017,12.8
Belarus,Bioenergy,Solid biofuels,Total Renewable,2018,15.5
Belarus,Bioenergy,Solid biofuels,Total Renewable,2019,15.5
Belarus,Bioenergy,Solid biofuels,Total Renewable,2020,85.5
Belarus,Bioenergy,Solid biofuels,Total Renewable,2021,83.1
Belarus,Bioenergy,Solid biofuels,Total Renewable,2022,100.5
Belarus,Bioenergy,Solid biofuels,Total Renewable,2023,100.5
Belarus,Wind energy,Onshore wind energy,Total Renewable,2015,22.0
Belarus,Wind energy,Onshore wind energy,Total Renewable,2016,62.0
Belarus,Wind energy,Onshore wind energy,Total Renewable,2017,84.0
Belarus,Wind energy,Onshore wind energy,Total Renewable,2018,92.0
Belarus,Wind energy,Onshore wind energy,Total Renewable,2019,112.0
Belarus,Wind energy,Onshore wind energy,Total Renewable,2020,112.0
Belarus,Wind energy,Onshore wind energy,Total Renewable,2021,111.7
Belarus,Wind energy,Onshore wind energy,Total Renewable,2022,120.0
Belarus,Wind energy,Onshore wind energy,Total Renewable,2023,122.0
Belarus,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2015,9750.0
Belarus,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2016,9826.0
Belarus,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2017,9883.0
Belarus,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2018,9807.0
Belarus,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2019,9820.0
Belarus,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2020,9800.0
Belarus,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2021,9680.0
Belarus,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2022,9719.8
Belarus,Fossil fuels,Fossil fuels n.e.s.,Total Non-Renewable,2023,9719.8
Belarus,Solar energy,Solar photovoltaic,Total Renewable,2015,6.0
Belarus,Solar energy,Solar photovoltaic,Total Renewable,2016,47.0
Belarus,Solar energy,Solar photovoltaic,Total Renewable,2017,80.0
Belarus,Solar energy,Solar photovoltaic,Total Renewable,2018,154.0
Belarus,Solar energy,Solar photovoltaic,Total Renewable,2019,154.0
Belarus,Solar energy,Solar photovoltaic,Total Renewable,2020,160.3
Belarus,Solar energy,Solar photovoltaic,Total Renewable,2021,163.4
Belarus,Solar energy,Solar photovoltaic,Total Renewable,2022,272.5
Belarus,Solar energy,Solar photovoltaic,Total Renewable,2023,272.7
Belarus,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2015,33.504
Belarus,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2016,73.564
Belarus,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2017,95.364
Belarus,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2018,95.364
Belarus,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2019,95.364
Belarus,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2020,96.0
Belarus,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2021,96.0
Belarus,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2022,96.2
Belarus,Hydropower (excl. Pumped Storage),Renewable hydropower,Total Renewable,2023,96.5
Belgium,Nuclear,Nuclear,Total Non-Renewable,2015,5913.0
Belgium,Nuclear,Nuclear,Total Non-Renewable,2016,5913.0
Belgium,Nuclear,Nuclear,Total Non-Renewable,2017,5918.0
Belgium,Nuclear,Nuclear,Total Non-Renewable,2018,5918.0
Belgium,Nuclear,Nuclear,Total Non-Renewable,2019,5930.0
Belgium,Nuclear,Nuclear,Total Non-Renewable,2020,5942.0
Belgium,Nuclear,Nuclear,Total Non-Renewable,2021,5851.0
Belgium,Nuclear,Nuclear,Total Non-Renewable,2022,4845.0
Belgium,Nuclear,Nuclear,Total Non-Renewable,2023,3837.0
Belgium,Bioenergy,Biogas,Total Renewable,2015,178.9
Belgium,Bioenergy,Biogas,Total Renewable,2016,187.5
Belgium,Bioenergy,Biogas,Total Renewable,2017,182.5
Belgium,Bioenergy,Biogas,Total Renewable,2018,190.2
Belgium,Bioenergy,Biogas,Total Renewable,2019,196.6
Belgium,Bioenergy,Biogas,Total Renewable,2020,199.0
Belgium,Bioenergy,Biogas,Total Renewable,2021,203.5
Belgium,Bioenergy,Biogas,Total Renewable,2022,204.6
Belgium,Bioenergy,Biogas,Total Renewable,2023,204.6
Belgium,Bioenergy,Solid biofuels,Total Renewable,2015,4.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2016,10.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2017,11.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2018,10.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2019,13.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2020,9.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2021,4.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2022,4.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2023,4.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2015,382.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2016,352.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2017,365.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2018,329.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2019,326.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2020,345.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2021,236.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2022,236.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2023,236.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2015,22.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2016,23.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2017,23.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2018,24.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2019,24.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2020,18.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2021,20.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2022,20.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2023,20.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2015,55.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2016,52.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2017,59.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2018,57.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2019,68.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2020,57.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2021,64.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2022,64.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2023,64.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2015,33.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2016,31.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2017,32.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2018,34.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2019,38.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2020,37.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2021,36.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2022,36.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2023,36.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2015,95.3
Belgium,Bioenergy,Solid biofuels,Total Renewable,2016,98.3
Belgium,Bioenergy,Solid biofuels,Total Renewable,2017,69.2
Belgium,Bioenergy,Solid biofuels,Total Renewable,2018,72.3
Belgium,Bioenergy,Solid biofuels,Total Renewable,2019,70.2
Belgium,Bioenergy,Solid biofuels,Total Renewable,2020,97.5
Belgium,Bioenergy,Solid biofuels,Total Renewable,2021,88.0
Belgium,Bioenergy,Solid biofuels,Total Renewable,2022,128.6
Belgium,Bioenergy,Solid biofuels,Total Renewable,2023,129.6
Belgium,Bioenergy,Liquid biofuels,Total Renewable,2015,11.0
Belgium,Bioenergy,Liquid biofuels,Total Renewable,2016,9.7
Belgium,Bioenergy,Liquid biofuels,Total Renewable,2017,9.1
Belgium,Bioenergy,Liquid biofuels,Total Renewable,2018,8.3
Belgium,Bioenergy,Liquid biofuels,Total Renewable,2019,8.0
Belgium,Bioenergy,Liquid biofuels,Total Renewable,2020,5.0
Belgium,Bioenergy,Liquid biofuels,Total Renewable,2021,0.6
Belgium,Bioenergy,Liquid biofuels,Total Renewable,2022,0.1
Belgium,Bioenergy,Liquid biofuels,Total Renewable,2023,0.1
Belgium,Bioenergy,Liquid biofuels,Total Renewable,2015,37.8
Belgium,Bioenergy,Liquid biofuels,Total Renewable,2016,35.2
Belgium,Bioenergy,Liquid biofuels,Total Renewable,2017,36.2
Belgium,Bioenergy,Liquid biofuels,Total Renewable,2018,36.9
Belgium,Bioenergy,Liquid biofuels,Total Renewable,2019,36.9
Belgium,Bioenergy,Liquid biofuels,Total Renewable,2020,18.1
Belgium,Bioenergy,Liquid biofuels,Total Renewable,2021,18.6
Belgium,Bioenergy,Liquid biofuels,Total Renewable,2022,29.8
Belgium,Bioenergy,Liquid biofuels,Total Renewable,2023,29.8
Belgium,Bioenergy,Renewable municipal waste,Total Renewable,2015,124.2
Belgium,Bioenergy,Renewable municipal waste,Total Renewable,2016,124.65
Belgium,Bioenergy,Renewable municipal waste,Total Renewable,2017,125.3
Belgium,Bioenergy,Renewable municipal waste,Total Renewable,2018,125.2
Belgium,Bioenergy,Renewable municipal waste,Total Renewable,2019,125.75
Belgium,Bioenergy,Renewable municipal waste,Total Renewable,2020,136.15
Belgium,Bioenergy,Renewable municipal waste,Total Renewable,2021,146.2
Belgium,Bioenergy,Renewable municipal waste,Total Renewable,2022,146.75
Belgium,Bioenergy,Renewable municipal waste,Total Renewable,2023,146.75
Belgium,Wind energy,Onshore wind energy,Total Renewable,2015,1469.3
Belgium,Wind energy,Onshore wind energy,Total Renewable,2016,1621.6
Belgium,Wind energy,Onshore wind energy,Total Renewable,2017,1902.2
Belgium,Wind energy,Onshore wind energy,Total Renewable,2018,2119.0
Belgium,Wind energy,Onshore wind energy,Total Renewable,2019,2308.0
Belgium,Wind energy,Onshore wind energy,Total Renewable,2020,2410.9
Belgium,Wind energy,Onshore wind energy,Total Renewable,2021,2686.6
Belgium,Wind energy,Onshore wind energy,Total Renewable,2022,3041.6
Belgium,Wind energy,Onshore wind energy,Total Renewable,2023,3241.75
Belgium,Wind energy,Offshore wind energy,Total Renewable,2015,712.0
Belgium,Wind energy,Offshore wind energy,Total Renewable,2016,712.2
Belgium,Wind energy,Offshore wind energy,Total Renewable,2017,877.2
